text,label
यह पुस्तक बहुत रोचक है,Hindi
मी मराठी शिकत आहे,Marathi
वातावरणं रमणीयं अस्ति,Sanskrit
कियद्वेला जाता? एषः सुंदरः दिवसः अस्ति,Sanskrit
तुम कैसे हो? यह एक सुंदर दिन है,Hindi
हवामान खूप छान आहे,Marathi
म नेपाली सिक्दैछु,Nepali
म बजार जाँदैछु यो पुस्तक धेरै रोचक छ,Nepali
यह पुस्तक बहुत रोचक है मैं बाजार जा रहा हूँ,Hindi
ही पुस्तक खूप रंजक आहे,Marathi
यो एक सुन्दर दिन हो भारत एक महान देश हो,Nepali
त्वं कथं असि?,Sanskrit
मौसम धेरै राम्रो छ,Nepali
वेळ किती वाजली आहे?,Marathi
मला भूक लागली आहे,Marathi
एषः सुंदरः दिवसः अस्ति,Sanskrit
भारत एक महान देश आहे हा एक सुंदर दिवस आहे,Marathi
मी मराठी शिकत आहे,Marathi
कति बजेको छ?,Nepali
मी मराठी शिकत आहे,Marathi
कृपया मलाई मद्दत गर,Nepali
यो एक सुन्दर दिन हो,Nepali
मी बाजारात जात आहे मी बाजारात जात आहे,Marathi
ही पुस्तक खूप रंजक आहे,Marathi
मम क्षुधा वर्तते,Sanskrit
यह पुस्तक बहुत रोचक है,Hindi
कृपया मेरी मदद करें,Hindi
हवामान खूप छान आहे,Marathi
यो एक सुन्दर दिन हो यो पुस्तक धेरै रोचक छ,Nepali
मैं बाजार जा रहा हूँ,Hindi
एषः सुंदरः दिवसः अस्ति,Sanskrit
मैं हिंदी सीख रहा हूँ,Hindi
मी बाजारात जात आहे,Marathi
अहं संस्कृतं पठामि,Sanskrit
भारत एक महान देश आहे,Marathi
हवामान खूप छान आहे,Marathi
म बजार जाँदैछु,Nepali
भारत एक महान देश है,Hindi
मुझे भूख लगी है,Hindi
कृपया साहाय्यं कुरुत,Sanskrit
अहं विद्यालयं गच्छामि,Sanskrit
कृपया साहाय्यं कुरुत,Sanskrit
कृपया मलाई मद्दत गर तिमीलाई कस्तो छ?,Nepali
एषः सुंदरः दिवसः अस्ति मम क्षुधा वर्तते,Sanskrit
क्या समय हुआ है? भारत एक महान देश है,Hindi
ही पुस्तक खूप रंजक आहे हा एक सुंदर दिवस आहे,Marathi
कृपया माझी मदत करा,Marathi
वेळ किती वाजली आहे?,Marathi
म नेपाली सिक्दैछु,Nepali
यो पुस्तक धेरै रोचक छ,Nepali
मैं हिंदी सीख रहा हूँ मुझे भूख लगी है,Hindi
भारत एक महान देश हो,Nepali
भारत एक महान देश है भारत एक महान देश है,Hindi
एषः सुंदरः दिवसः अस्ति,Sanskrit
तिमीलाई कस्तो छ?,Nepali
कृपया मलाई मद्दत गर,Nepali
कृपया माझी मदत करा,Marathi
मुझे भूख लगी है,Hindi
अहं संस्कृतं पठामि,Sanskrit
मला भूक लागली आहे,Marathi
यह एक सुंदर दिन है मौसम बहुत अच्छा है,Hindi
हवामान खूप छान आहे मी बाजारात जात आहे,Marathi
हवामान खूप छान आहे कृपया माझी मदत करा,Marathi
तिमीलाई कस्तो छ?,Nepali
एषा पुस्तिका रोचकं अस्ति,Sanskrit
हा एक सुंदर दिवस आहे,Marathi
त्वं कथं असि?,Sanskrit
वेळ किती वाजली आहे? कृपया माझी मदत करा,Marathi
कियद्वेला जाता? वातावरणं रमणीयं अस्ति,Sanskrit
यो पुस्तक धेरै रोचक छ,Nepali
मम क्षुधा वर्तते,Sanskrit
तुम कैसे हो?,Hindi
मला भूक लागली आहे हा एक सुंदर दिवस आहे,Marathi
म नेपाली सिक्दैछु,Nepali
मी मराठी शिकत आहे,Marathi
मुझे भूख लगी है,Hindi
म नेपाली सिक्दैछु,Nepali
